name,actual ,predict,accuracy,sensitivity,specificity,accuracy
SpoU_sub_bind,31,31,1,1,1,1
Usher,12,12,1,1,1,1
RNase_P_Rpp14,29,29,1,1,1,1
YjhX_toxin,21,21,1,1,1,1
V1R,31,31,1,1,1,1
FtsL,16,16,1,1,1,1
DUF3744,11,11,1,1,1,1
FtsJ,204,204,1,1,1,1
XAP5,11,11,1,1,1,1
zf-NF-X1,10,10,1,1,1,1
FtsQ,12,12,1,1,1,1
Peptidase_A24,16,16,1,1,1,1
Ribosomal_L15e,31,31,1,1,1,1
Ribosomal_L40e,28,28,1,1,1,1
FtsX,13,13,1,1,1,1
GMC_oxred_C,10,10,1,1,1,1
Asp,66,66,1,1,1,1
GerE,19,19,1,1,1,1
UPF0270,18,18,1,1,1,1
GMC_oxred_N,35,35,1,1,1,1
TPP_enzyme_N,154,154,1,1,1,1
TPP_enzyme_M,14,14,1,1,1,1
Coprogen_oxidas,63,63,1,1,1,1
Mab-21,17,17,1,1,1,1
TPP_enzyme_C,29,29,1,1,1,1
ADP_ribosyl_GH,12,12,1,1,1,1
Gp_dh_N,64,64,1,1,1,1
DOMON,15,15,1,1,1,1
2Fe-2S_thioredx,11,11,1,1,1,1
Gp_dh_C,36,36,1,1,1,1
Trigger_C,30,30,1,1,1,1
TonB_dep_Rec,43,43,1,1,1,1
NUDE_C,11,11,1,1,1,1
SNF2_N,125,125,1,1,1,1
AIRC,17,17,1,1,1,1
Spt5_N,14,14,1,1,1,1
Anth_synt_I_N,12,12,1,1,1,1
AIRS,17,17,1,1,1,1
Sulfatase_C,10,10,1,1,1,1
SPASM,24,24,1,1,1,1
DUF4217,22,22,1,1,1,1
PAS,29,29,1,1,1,1
Sugar_transport,14,14,1,1,1,1
PAZ,15,15,1,1,1,1
E1_dh,18,18,1,1,1,1
CD36,23,23,1,1,1,1
SRCR,34,34,1,1,1,1
ASCH,18,18,1,1,1,1
Methyltrn_RNA_2,27,27,1,1,1,1
PSII_Ycf12,14,14,1,1,1,1
CARD,12,12,1,1,1,1
HTH_DeoR,20,20,1,1,1,1
Nop10p,31,31,1,1,1,1
Cg6151-P,17,17,1,1,1,1
Glyco_hydro_30C,10,10,1,1,1,1
Pribosyl_synth,56,56,1,1,1,1
ADK_lid,171,171,1,1,1,1
OmpA,16,16,1,1,1,1
Pribosyltran,761,761,1,1,1,1
FERM_N,11,11,1,1,1,1
FERM_M,13,13,1,1,1,1
Sec1,16,16,1,1,1,1
FAD_oxidored,15,15,1,1,1,1
Transcrip_reg,275,275,1,1,1,1
UTRA,15,15,1,1,1,1
TTL,20,20,1,1,1,1
Acylphosphatase,152,152,1,1,1,1
Rrf2,21,21,1,1,1,1
Peptidase_C26,11,11,1,1,1,1
GrpE,257,257,1,1,1,1
MerR-DNA-bind,15,15,1,1,1,1
DUF441,43,43,1,1,1,1
SLBB,19,19,1,1,1,1
FA_desaturase,58,58,1,1,1,1
DUF444,32,32,1,1,1,1
NifU,34,34,1,1,1,1
NifW,27,27,1,1,1,1
zf-CDGSH,12,12,1,1,1,1
fn2,10,10,1,1,1,1
DNA_binding_1,19,19,1,1,1,1
GDPD,32,32,1,1,1,1
Pantoate_ligase,276,276,1,1,1,1
DUF1444,13,13,1,1,1,1
DUF1447,24,24,1,1,1,1
DEAD_2,10,10,1,1,1,1
Ectoine_synth,24,24,1,1,1,1
FKBP_C,73,73,1,1,1,1
Oxidored_q3,39,39,1,1,1,1
LigB,20,20,1,1,1,1
Late_protein_L2,10,10,1,1,1,1
TrkA_C,56,56,1,1,1,1
SfsA,147,147,1,1,1,1
RF3_C,52,52,1,1,1,1
PTH2,28,28,1,1,1,1
Pkinase,725,725,1,1,1,1
GST_C,35,35,1,1,1,1
PSI,12,12,1,1,1,1
Ribosomal_L28,207,207,1,1,1,1
Ribosomal_L29,228,228,1,1,1,1
2-ph_phosp,39,39,1,1,1,1
Ribosomal_L26,39,39,1,1,1,1
dCMP_cyt_deam_2,38,38,1,1,1,1
GST_N,76,76,1,1,1,1
Voldacs,10,10,1,1,1,1
Malic_M,36,36,1,1,1,1
Glyco_hydro_43,17,17,1,1,1,1
ThrE_2,14,14,1,1,1,1
Na_H_antiport_1,146,146,1,1,1,1
Toprim_4,259,259,1,1,1,1
Sre,17,17,1,1,1,1
Iso_dh,137,137,1,1,1,1
Fe-ADH_2,45,45,1,1,1,1
ETF,22,22,1,1,1,1
Amidinotransf,48,48,1,1,1,1
Carb_kinase,45,45,1,1,1,1
UQ_con,84,84,1,1,1,1
40S_SA_C,22,22,1,1,1,1
Com_YlbF,43,43,1,1,1,1
zf-Tim10_DDP,35,35,1,1,1,1
Mannitol_dh_C,63,63,1,1,1,1
ParE_toxin,15,15,1,1,1,1
tRNA_U5-meth_tr,243,243,1,1,1,1
DivIVA,22,22,1,1,1,1
C2,81,81,1,1,1,1
ALS_ss_C,12,12,1,1,1,1
CH,29,29,1,1,1,1
LexA_DNA_bind,17,17,1,1,1,1
AAA_assoc,19,19,1,1,1,1
DUF1128,13,13,1,1,1,1
MaoC_dehydrat_N,18,18,1,1,1,1
TrkH,21,21,1,1,1,1
Methyltransf_10,48,48,1,1,1,1
Bac_rhodopsin,14,14,1,1,1,1
Arabinose_Iso_C,29,29,1,1,1,1
CS,12,12,1,1,1,1
PsbX,19,19,1,1,1,1
Ribosomal_L11_N,111,111,1,1,1,1
Crl,10,10,1,1,1,1
SpoIIE,16,16,1,1,1,1
Polysacc_deac_1,32,32,1,1,1,1
DNA_pol_A_exo1,30,30,1,1,1,1
Sushi,77,77,1,1,1,1
zf-B_box,26,26,1,1,1,1
Herpes_glycop_H,13,13,1,1,1,1
Ub-RnfH,36,36,1,1,1,1
TAT_signal,20,20,1,1,1,1
LOB,13,13,1,1,1,1
Malectin_like,14,14,1,1,1,1
DUF846,16,16,1,1,1,1
FHA,23,23,1,1,1,1
LOR,11,11,1,1,1,1
Cmc1,10,10,1,1,1,1
Defensin_1,18,18,1,1,1,1
DNA_pol3_beta_3,21,21,1,1,1,1
Trefoil,11,11,1,1,1,1
Trypsin_2,42,42,1,1,1,1
Acyltransferase,45,45,1,1,1,1
DS,32,32,1,1,1,1
PMP22_Claudin,25,25,1,1,1,1
RrnaAD,311,311,1,1,1,1
Aconitase,214,214,1,1,1,1
RBFA,262,262,1,1,1,1
GFO_IDH_MocA_C,38,38,1,1,1,1
Fe_dep_repr_C,12,12,1,1,1,1
RuvX,243,243,1,1,1,1
Med21,18,18,1,1,1,1
Med20,15,15,1,1,1,1
S-AdoMet_synt_M,95,95,1,1,1,1
Med22,11,11,1,1,1,1
GlutR_N,31,31,1,1,1,1
MinE,115,115,1,1,1,1
Med26,12,12,1,1,1,1
Reprolysin,17,17,1,1,1,1
RNA_pol_Rpb5_C,31,31,1,1,1,1
1-cysPrx_C,11,11,1,1,1,1
UPF0262,26,26,1,1,1,1
Drc1-Sld2,12,12,1,1,1,1
NMT_C,14,14,1,1,1,1
VWC,24,24,1,1,1,1
CemA,22,22,1,1,1,1
FH2,31,31,1,1,1,1
PRA-PH,160,160,1,1,1,1
B12-binding,15,15,1,1,1,1
DUF4512,11,11,1,1,1,1
DIOX_N,55,55,1,1,1,1
Branch,11,11,1,1,1,1
Adaptin_N,10,10,1,1,1,1
DinB_2,11,11,1,1,1,1
Late_protein_L1,10,10,1,1,1,1
PetG,19,19,1,1,1,1
dCMP_cyt_deam_1,28,28,1,1,1,1
Histone,77,77,1,1,1,1
PetM,16,16,1,1,1,1
ATG22,22,22,1,1,1,1
CIAPIN1,52,52,1,1,1,1
ATG27,11,11,1,1,1,1
Band_7,26,26,1,1,1,1
Defensin_beta,49,49,1,1,1,1
Peptidase_M36,16,16,1,1,1,1
PGM_PMM_II,14,14,1,1,1,1
SurA_N_3,11,11,1,1,1,1
TetR_N,52,52,1,1,1,1
DctP,21,21,1,1,1,1
Photo_RC,21,21,1,1,1,1
DDRGK,13,13,1,1,1,1
Uteroglobin,10,10,1,1,1,1
CD20,19,19,1,1,1,1
KRAB,17,17,1,1,1,1
Lipoxygenase,11,11,1,1,1,1
GIY-YIG,81,81,1,1,1,1
Terpene_synth,15,15,1,1,1,1
Na_K-ATPase,15,15,1,1,1,1
RuvC,212,212,1,1,1,1
MDM10,41,41,1,1,1,1
OATP,10,10,1,1,1,1
Lys,27,27,1,1,1,1
Herpes_UL69,11,11,1,1,1,1
PWWP,16,16,1,1,1,1
BCNT,10,10,1,1,1,1
MCM_OB,20,20,1,1,1,1
Arf,32,32,1,1,1,1
KdpA,88,88,1,1,1,1
PC_rep,12,12,1,1,1,1
Ureidogly_lyase,13,13,1,1,1,1
Herpes_ORF11,11,11,1,1,1,1
Arm,36,36,1,1,1,1
Pan_kinase,201,201,1,1,1,1
MMS1_N,30,30,1,1,1,1
Sod_Fe_N,44,44,1,1,1,1
Tannase,11,11,1,1,1,1
CsrA,69,69,1,1,1,1
Trm112p,89,89,1,1,1,1
OTCace,103,103,1,1,1,1
zf-CSL,21,21,1,1,1,1
FYVE,17,17,1,1,1,1
DUF1743,14,14,1,1,1,1
PTE,12,12,1,1,1,1
Glyoxalase,56,56,1,1,1,1
CRISPR_Cas2,62,62,1,1,1,1
Resolvase,13,13,1,1,1,1
Succ_DH_flav_C,34,34,1,1,1,1
HMGL-like,89,89,1,1,1,1
Rtt106,25,25,1,1,1,1
PBP,27,27,1,1,1,1
Phage_int_SAM_4,10,10,1,1,1,1
DUF1297,25,25,1,1,1,1
DUF1292,36,36,1,1,1,1
PBD,23,23,1,1,1,1
RadC,140,140,1,1,1,1
DUF1054,22,22,1,1,1,1
MBOAT_2,10,10,1,1,1,1
KdpC,83,83,1,1,1,1
Ribosomal_L21p,250,250,1,1,1,1
Ribosomal_L18A,24,24,1,1,1,1
Sld5,45,45,1,1,1,1
MAGE_N,10,10,1,1,1,1
MPC,12,12,1,1,1,1
Apolipoprotein,22,22,1,1,1,1
GSHPx,20,20,1,1,1,1
PCMT,158,158,1,1,1,1
PSII,31,31,1,1,1,1
Ribosomal_L18p,258,258,1,1,1,1
SUR7,15,15,1,1,1,1
DUF1450,19,19,1,1,1,1
Fes1,16,16,1,1,1,1
